iter	RMSE
0	19.98730521
1	19.96180775
2	19.90676385
3	19.86994033
4	19.8320747
5	19.80551834
6	19.75615694
7	19.71320145
8	19.69468808
9	19.6612174
10	19.63042317
11	19.60203935
12	19.57255831
13	19.54462876
14	19.51853236
15	19.48523392
16	19.45630071
17	19.42901823
18	19.39157684
19	19.3566753
20	19.32944882
21	19.29330647
22	19.26997808
23	19.23138187
24	19.20289838
25	19.17359273
26	19.16842946
27	19.14976655
28	19.13741744
29	19.10620891
30	19.08477801
31	19.06274214
32	19.04003877
33	19.02575059
34	19.00163068
35	18.96907302
36	18.9334198
37	18.91690233
38	18.87850785
39	18.84720868
40	18.82589857
41	18.79258118
42	18.76224302
43	18.74221852
44	18.72146616
45	18.7005627
46	18.67464638
47	18.66162857
48	18.63503798
49	18.59986119
50	18.58157854
51	18.56664615
52	18.53416617
53	18.51435687
54	18.48307575
55	18.45704396
56	18.43832818
57	18.41840184
58	18.39088797
59	18.35782961
60	18.33684507
61	18.30402008
62	18.26840098
63	18.2479435
64	18.22118628
65	18.20315401
66	18.17933492
67	18.15760592
68	18.12711711
69	18.10749587
70	18.08550792
71	18.08539258
72	18.06695567
73	18.0461231
74	18.01837464
75	18.0031195
76	17.98873463
77	17.97419325
78	17.94922258
79	17.92783209
80	17.90601135
81	17.87899621
82	17.85891407
83	17.8301662
84	17.80951379
85	17.77560469
86	17.75351567
87	17.7329566
88	17.71220984
89	17.69038116
90	17.67058166
91	17.6561997
92	17.6307959
93	17.61809025
94	17.59276341
95	17.57996948
96	17.56821753
97	17.5442568
98	17.51841206
99	17.50240197
100	17.48370239
101	17.45901929
102	17.44759416
103	17.44706688
104	17.42502823
105	17.41153258
106	17.38415645
107	17.35884271
108	17.33353114
109	17.31710036
110	17.29619401
111	17.27051867
112	17.24595403
113	17.23512066
114	17.2230923
115	17.21116644
116	17.19016605
117	17.16381482
118	17.13878703
119	17.12497555
120	17.109663
121	17.10183728
122	17.08538144
123	17.07705811
124	17.05068086
125	17.03236033
126	17.01368764
127	17.0035496
128	16.98126895
129	16.95820135
130	16.9390729
131	16.91936077
132	16.90785098
133	16.89013791
134	16.87266783
135	16.85726921
136	16.84389534
137	16.82888625
138	16.80493805
139	16.79406775
140	16.77736307
141	16.76235364
142	16.74603126
143	16.72013943
144	16.7013322
145	16.68759123
146	16.66440158
147	16.65249296
148	16.63470283
149	16.62296429
150	16.60970325
151	16.58668966
152	16.56723008
153	16.54199722
154	16.52686507
155	16.51290032
156	16.50548989
157	16.4904855
158	16.46944899
159	16.46045627
160	16.43342833
161	16.41137032
162	16.39600988
163	16.37351583
164	16.35924581
165	16.33989232
166	16.32681527
167	16.31071751
168	16.29996964
169	16.2875225
170	16.2635335
171	16.24755641
172	16.22943891
173	16.21092058
174	16.19706733
175	16.17638971
176	16.16067622
177	16.16006736
178	16.14092111
179	16.12850882
180	16.11605901
181	16.0952803
182	16.0857202
183	16.06131633
184	16.03707944
185	16.02755865
186	16.01269076
187	15.99193388
188	15.9767442
189	15.96800086
190	15.9466692
191	15.93298097
192	15.92103539
193	15.90162976
194	15.89142423
195	15.8802707
196	15.87039402
197	15.86163147
198	15.85358332
199	15.84100398
200	15.80978014
201	15.79717641
202	15.77697846
203	15.75951501
204	15.74641891
205	15.73232727
206	15.71919793
207	15.70431917
208	15.68423787
209	15.6643382
210	15.64843006
211	15.63362843
212	15.61966294
213	15.60436692
214	15.58081343
215	15.57058428
216	15.55822233
217	15.54897354
218	15.53904188
219	15.52919934
220	15.5160661
221	15.50143733
222	15.48324132
223	15.47384606
224	15.45217995
225	15.43923722
226	15.42395796
227	15.410811
228	15.39613725
229	15.38412265
230	15.37466606
231	15.35724077
232	15.34134848
233	15.32845316
234	15.3172867
235	15.3025023
236	15.28677422
237	15.26593467
238	15.25575987
239	15.24306671
240	15.23077976
241	15.22264642
242	15.20675616
243	15.1815486
244	15.17027804
245	15.15757826
246	15.14218577
247	15.12140992
248	15.10595095
249	15.0839828
250	15.07005092
251	15.05272335
252	15.04432948
253	15.02888244
254	15.01547869
255	15.00050048
256	14.98529959
257	14.97527109
258	14.9645862
259	14.95845441
260	14.95122257
261	14.94214131
262	14.91923347
263	14.9089906
264	14.89584905
265	14.88142643
266	14.87036085
267	14.86181414
268	14.84093342
269	14.82874181
270	14.81477132
271	14.79921654
272	14.78768136
273	14.77853869
274	14.7675583
275	14.74825307
276	14.73698878
277	14.72358316
278	14.71438554
279	14.70539108
280	14.69134018
281	14.67983162
282	14.67046169
283	14.65827338
284	14.64895879
285	14.63508635
286	14.61991501
287	14.60484449
288	14.59582592
289	14.58091355
290	14.56797921
291	14.55785346
292	14.54659668
293	14.53559982
294	14.52585172
295	14.50618729
296	14.49057936
297	14.48235001
298	14.47274285
299	14.45097304
300	14.44211439
301	14.42774598
302	14.41744707
303	14.40426791
304	14.39369324
305	14.37637827
306	14.35658726
307	14.33881111
308	14.32494198
309	14.31749162
310	14.31047922
311	14.30371442
312	14.2968318
313	14.28548856
314	14.27969724
315	14.26760044
316	14.25615049
317	14.24299809
318	14.23075712
319	14.21909868
320	14.20112039
321	14.19361392
322	14.18348609
323	14.17328441
324	14.16705983
325	14.15046207
326	14.13890977
327	14.12819665
328	14.11877167
329	14.10343552
330	14.08940572
331	14.08216325
332	14.07216882
333	14.06113049
334	14.04177948
335	14.03537903
336	14.02585641
337	14.01264171
338	14.00675236
339	14.00171768
340	13.99688488
341	13.98877177
342	13.98079051
343	13.97561526
344	13.96949533
345	13.96044283
346	13.94987486
347	13.94450747
348	13.93529006
349	13.92417516
350	13.91580053
351	13.90753159
352	13.89783781
353	13.87977218
354	13.87009766
355	13.86034882
356	13.85512471
357	13.85033899
358	13.84091479
359	13.83315377
360	13.82954647
361	13.82349692
362	13.81608795
363	13.80719819
364	13.79884814
365	13.79158379
366	13.7850739
367	13.77185224
368	13.76437759
369	13.75740288
370	13.74531307
371	13.73390156
372	13.72626327
373	13.70832661
374	13.70038071
375	13.6899604
376	13.67854699
377	13.66853899
378	13.65236443
379	13.64776253
380	13.63861071
381	13.62524058
382	13.61377548
383	13.6059444
384	13.5900627
385	13.57958726
386	13.56758074
387	13.55372765
388	13.54623899
389	13.53711302
390	13.52811303
391	13.51847696
392	13.50310491
393	13.48710096
394	13.48240712
395	13.47389141
396	13.45334376
397	13.44753639
398	13.43349048
399	13.42566535
400	13.41832
401	13.40837686
402	13.40015855
403	13.38529232
404	13.37647527
405	13.3714206
406	13.36666378
407	13.35620303
408	13.35204401
409	13.34407587
410	13.3397218
411	13.32690418
412	13.31083822
413	13.29918797
414	13.28868522
415	13.27941262
416	13.26699423
417	13.26073576
418	13.25137053
419	13.24098174
420	13.23057558
421	13.21987822
422	13.21141945
423	13.20020464
424	13.19165994
425	13.186206
426	13.17004601
427	13.16277172
428	13.15636755
429	13.14800221
430	13.14110936
431	13.13690366
432	13.13110467
433	13.12283729
434	13.11801118
435	13.11019184
436	13.09929539
437	13.09573587
438	13.08432145
439	13.0738918
440	13.06357796
441	13.05970664
442	13.04978063
443	13.04081979
444	13.03543106
445	13.02461472
446	13.01528514
447	13.0017252
448	12.98934281
449	12.98102613
450	12.97188821
451	12.95775397
452	12.94501672
453	12.9380454
454	12.92850108
455	12.92354754
456	12.91579731
457	12.90795585
458	12.89738465
459	12.88906434
460	12.8810291
461	12.87631212
462	12.86560396
463	12.85612448
464	12.8474341
465	12.83905586
466	12.82956727
467	12.8118336
468	12.79740212
469	12.77977862
470	12.76699977
471	12.75764334
472	12.74620711
473	12.73989746
474	12.72617077
475	12.70907115
476	12.70207038
477	12.69928476
478	12.68382678
479	12.67659169
480	12.67141157
481	12.65607931
482	12.65032695
483	12.64335484
484	12.63290031
485	12.62058954
486	12.60636268
487	12.59217473
488	12.58000169
489	12.56868657
490	12.56212325
491	12.5456036
492	12.53130931
493	12.52214364
494	12.51681242
495	12.50729941
496	12.49844048
497	12.4931848
498	12.48375499
499	12.47261427
500	12.46422089
501	12.45784822
502	12.45363846
503	12.4432
504	12.42961088
505	12.42235876
506	12.41545145
507	12.4054555
508	12.39473421
509	12.39042915
510	12.38488472
511	12.37968624
512	12.3703559
513	12.36045005
514	12.35398398
515	12.3464673
516	12.33100399
517	12.32533659
518	12.31352566
519	12.30553425
520	12.29442336
521	12.28840594
522	12.28236682
523	12.2752382
524	12.26459323
525	12.25844645
526	12.25345911
527	12.24825299
528	12.24300759
529	12.23597538
530	12.23120072
531	12.22367526
532	12.21673124
533	12.19951018
534	12.18872575
535	12.18253425
536	12.17324332
537	12.16507499
538	12.16053229
539	12.15003347
540	12.13902864
541	12.13407685
